ERROR 2024/08/26 07:59:25 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:59:56 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:00:26 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:00:57 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:01:27 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:01:58 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:02:28 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:02:59 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:03:30 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:04:00 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:04:31 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:05:01 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:05:32 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:06:02 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:06:33 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:07:04 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:07:34 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:08:05 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:08:35 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:09:06 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:09:36 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:10:07 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:10:37 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:11:08 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:11:39 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:12:09 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:12:40 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:13:10 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:13:41 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:14:11 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:14:42 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:15:12 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:15:43 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:16:14 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:16:44 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:17:15 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 08:17:45 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
